NOME,ID_LATTES,INSTITUICAO
LUCIANO CUNHA DE ARAUJO PIMENTA,1331652492006790,e452d709-0e4f-46cb-9449-50dd5310ac238
LUCIANO DE ERRICO,3146752231696669,e452d709-0e4f-46cb-9449-50dd5310ac239
LUCIANO FERNANDES DE MAGALHAES,7060605465481138,e452d709-0e4f-46cb-9449-50dd5310ac240
LUCIO FABIO DIAS PASSOS,0590470577019037,e452d709-0e4f-46cb-9449-50dd5310ac241
LUCIO FLAVIO DE SOUZA VILLAR,5471267290763315,e452d709-0e4f-46cb-9449-50dd5310ac242
LUIS ANTONIO AGUIRRE,6682146998710900,e452d709-0e4f-46cb-9449-50dd5310ac243
LUIS EUSTAQUIO MOREIRA,9557847163628919,e452d709-0e4f-46cb-9449-50dd5310ac244
LUIZ ANTONIO MELGACO NUNES BRANCO,5845159674319694,e452d709-0e4f-46cb-9449-50dd5310ac245
LUIZ CARLOS SANTOS,5308025844671333,e452d709-0e4f-46cb-9449-50dd5310ac246
LUIZ CLAUDIO MONTEIRO MONTENEGRO,2914959784072001,e452d709-0e4f-46cb-9449-50dd5310ac247
LUIZ HENRIQUE JORGE MACHADO,6648013482914624,e452d709-0e4f-46cb-9449-50dd5310ac248
LUIZ MACHADO,2021890970181321,e452d709-0e4f-46cb-9449-50dd5310ac249
LUIZ RAFAEL PALMIER,0484648966799309,e452d709-0e4f-46cb-9449-50dd5310ac250
LUIZ THEMYSTOKLIZ SANCTOS MENDES,4626724679640182,e452d709-0e4f-46cb-9449-50dd5310ac251
MANUEL NOEL PAUL GEORGES HOUMARD,867330474081944,e452d709-0e4f-46cb-9449-50dd5310ac252
MARCELO ALVES DE SOUZA,3892357668339541,e452d709-0e4f-46cb-9449-50dd5310ac253
MARCELO ARAUJO CAMARA,9784191929558104,e452d709-0e4f-46cb-9449-50dd5310ac254
MARCELO AZEVEDO COSTA,0843501351619189,e452d709-0e4f-46cb-9449-50dd5310ac255
MARCELO CARDOSO,2129811571198724,e452d709-0e4f-46cb-9449-50dd5310ac256
MARCELO FRANCO PORTO,6154592978170837,e452d709-0e4f-46cb-9449-50dd5310ac257
MARCELO GRECO,7953197985531154,e452d709-0e4f-46cb-9449-50dd5310ac258
MARCELO LIBANIO,5168671769851394,e452d709-0e4f-46cb-9449-50dd5310ac259
MARCO ANTONIO DE MENDONCA VECCI,9538829669531950,e452d709-0e4f-46cb-9449-50dd5310ac260
MARCO AURELIO DE SOUZA BIRCHAL,6340987109733541,e452d709-0e4f-46cb-9449-50dd5310ac261
MARCO TULIO CORREA DE FARIA,3169817627188409,e452d709-0e4f-46cb-9449-50dd5310ac262
MARCOS ANTONIO SEVERO MENDES,5124842076897832,e452d709-0e4f-46cb-9449-50dd5310ac263
MARIA AUXILIADORA FORTINI VELOSO,1449297203101166,e452d709-0e4f-46cb-9449-50dd5310ac264
MARIA CARMEN COUTO RIBEIRO,5384062863044885,e452d709-0e4f-46cb-9449-50dd5310ac265
MARIA CECILIA PEREIRA,7154028792368084,e452d709-0e4f-46cb-9449-50dd5310ac266
MARIA CECILIA PEREIRA DE FARIA,0545992342122749,e452d709-0e4f-46cb-9449-50dd5310ac267
MARIA CLARA VIEIRA MARTINS STARLING,5732421311917264,e452d709-0e4f-46cb-9449-50dd5310ac268
MARIA HELENA MURTA VALE,1722309795039441,e452d709-0e4f-46cb-9449-50dd5310ac269
MARIA LUCIA MACHADO DUARTE,076230777409819,e452d709-0e4f-46cb-9449-50dd5310ac270
MARIA TERESA PAULINO AGUILAR,9965276263062241,e452d709-0e4f-46cb-9449-50dd5310ac271
MARYS LENE BRAGA ALMEIDA,6095221702693578,e452d709-0e4f-46cb-9449-50dd5310ac272
MATEUS ANTONIO NOGUEIRA OLIVEIRA,4078230527855978,e452d709-0e4f-46cb-9449-50dd5310ac273
